Player,Team,Salary,S/C,Pos,GP,G,A,P,plus_minus,PIM,PperGP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI
Chris Kreider,NYR,10000000,L,L,26,14,5,19,-4,19,0.73,8,13,6,6,0,0,0,3,55,1034
Alex Ovechkin,WSH,10000000,R,L,23,10,10,20,-9,10,0.87,7,12,3,8,0,0,1,3,94,1221
Jamie Benn,DAL,9000000,L,L,20,4,9,13,6,23,0.65,4,11,0,2,0,0,0,0,48,1067
Kyle Connor,WPG,8000000,L,L,27,12,13,25,-2,6,0.93,6,18,6,7,0,0,0,2,82,1119
Taylor Hall,BUF,8000000,L,L,26,2,14,16,-17,20,0.62,1,10,1,6,0,0,0,0,67,1155
Zach Parise,MIN,8000000,L,L,25,3,9,12,3,6,0.48,3,10,0,2,0,0,0,1,54,957
James van Riemsdyk,PHI,7000000,L,L,25,12,16,28,8,10,1.12,5,20,7,8,0,0,0,0,60,1004
Max Pacioretty,VGK,7000000,L,L,25,13,12,25,11,4,1,10,21,3,4,0,0,3,4,110,1062
Matthew Tkachuk,CGY,7000000,L,L,28,7,15,22,3,28,0.79,4,12,3,10,0,0,0,0,90,1158
Johnny Gaudreau,CGY,6750000,L,L,28,11,12,23,1,4,0.82,5,12,6,11,0,0,1,3,56,1151
Gabriel Landeskog,COL,6500000,L,L,24,7,10,17,2,14,0.71,4,13,3,4,0,0,2,4,70,1202
Filip Forsberg,NSH,6000000,R,L,28,10,17,27,-7,12,0.96,7,17,3,10,0,0,1,3,106,1108
Evander Kane,SJS,6000000,L,L,25,11,12,23,-1,30,0.92,8,17,2,5,1,1,1,1,82,1179
Anders Lee,NYI,5850000,L,L,27,12,7,19,11,12,0.7,9,15,3,4,0,0,0,3,80,1052
James Neal,EDM,5750000,L,L,16,3,3,6,0,7,0.38,2,4,1,2,0,0,0,0,32,754
Nick Foligno,CBJ,5500000,L,L,30,5,7,12,2,18,0.4,4,7,1,2,0,3,0,0,53,1084
Brandon Saad,COL,5416667,L,L,25,9,7,16,-2,10,0.64,9,15,0,1,0,0,0,0,39,878
Jonathan Huberdeau,FLA,5300000,L,L,27,10,22,32,1,12,1.19,7,18,3,14,0,0,1,1,49,1041
Alex DeBrincat,CHI,5100000,R,L,25,15,14,29,7,2,1.16,10,19,5,10,0,0,2,3,82,1229
Brad Marchand,BOS,5000000,L,L,25,12,19,31,12,20,1.24,9,19,2,9,1,3,1,1,57,1131
Jake Guentzel,PIT,5000000,L,L,27,10,14,24,3,16,0.89,7,15,3,9,0,0,0,4,74,1221
Nikolaj Ehlers,WPG,4750000,L,L,27,14,15,29,10,7,1.07,10,22,4,7,0,0,1,3,84,1007
Jonathan Drouin,MTL,4500000,L,L,27,2,16,18,1,12,0.67,2,15,0,3,0,0,0,0,43,956
Alex Killorn,TBL,4450000,L,L,26,7,10,17,6,16,0.65,5,12,2,4,0,1,1,1,58,1121
Andre Burakovsky,COL,4400000,L,L,23,6,11,17,3,4,0.74,3,11,3,6,0,0,0,1,46,897
Nikita Gusev,NJD,4000000,R,L,17,2,3,5,-11,0,0.29,2,4,0,1,0,0,0,0,40,827
Jaden Schwartz,STL,4000000,L,L,14,2,7,9,9,10,0.64,2,8,0,1,0,0,0,0,23,1098
Loui Eriksson,VAN,4000000,L,L,6,0,1,1,-2,2,0.17,0,1,0,0,0,0,0,0,5,563
Mathieu Perreault,WPG,4000000,L,L,27,6,5,11,7,4,0.41,5,10,1,1,0,0,0,0,32,679
Tanner Pearson,VAN,3850000,L,L,31,5,5,10,-6,24,0.32,4,8,1,2,0,0,0,0,72,990
Tomas Tatar,MTL,3803774,L,L,26,5,11,16,2,6,0.62,3,10,2,6,0,0,0,1,48,879
Rickard Rakell,ANA,3800000,R,L,29,6,13,19,-3,4,0.66,6,16,0,3,0,0,0,1,95,1110
Andreas Johnsson,NJD,3600000,L,L,25,3,4,7,3,8,0.28,2,6,1,1,0,0,0,0,31,861
Kevin Fiala,MIN,3500000,L,L,23,9,4,13,-2,33,0.57,6,10,3,3,0,0,0,3,75,1022
Brandon Tanev,PIT,3500000,L,L,27,6,7,13,10,7,0.48,5,11,0,0,1,2,0,0,38,883
Ryan Dzingel,"CAR,OTT",3500000,L,L,17,5,2,7,-3,10,0.41,3,5,2,2,0,0,0,0,22,798
Milan Lucic,CGY,3500000,L,L,28,6,4,10,-9,27,0.36,5,9,1,1,0,0,0,0,40,780
Ondrej Palat,TBL,3445000,L,L,26,11,15,26,6,4,1,4,11,7,15,0,0,0,4,59,1037
Pierre-Luc Dubois,"CBJ,WPG",3350000,L,L,17,5,3,8,-4,10,0.47,5,7,0,1,0,0,2,3,29,922
David Perron,STL,3087500,R,L,28,11,18,29,-1,16,1.04,7,17,4,12,0,0,1,2,78,1123
Jakub Vrana,WSH,3000000,L,L,26,10,10,20,9,4,0.77,10,18,0,2,0,0,1,3,58,895
Marcus Foligno,MIN,3000000,L,L,23,7,9,16,13,29,0.7,6,15,0,0,1,1,0,1,24,871
Darren Helm,DET,3000000,L,L,20,1,2,3,-6,6,0.15,1,3,0,0,0,0,0,0,40,834
Victor Olofsson,BUF,2850000,L,L,26,8,11,19,-13,2,0.73,2,7,6,12,0,0,0,0,58,1075
Paul Byron,MTL,2800000,L,L,26,2,5,7,2,8,0.27,2,7,0,0,0,0,0,0,22,751
Danton Heinen,ANA,2775000,L,L,20,3,3,6,-3,0,0.3,2,5,1,1,0,0,0,1,34,863
Carl Hagelin,WSH,2700000,L,L,27,3,4,7,3,2,0.26,3,7,0,0,0,0,0,0,42,858
J.T. Compher,COL,2600000,R,L,21,2,2,4,-2,15,0.19,1,2,1,2,0,0,0,0,22,907
Zach Hyman,TOR,2500000,R,L,28,10,8,18,14,24,0.64,7,14,3,4,0,0,0,1,73,1186
Miles Wood,NJD,2500000,L,L,25,8,4,12,-3,17,0.48,6,10,2,2,0,0,0,1,54,880
Antoine Roussel,VAN,2500000,L,L,29,1,2,3,3,35,0.1,1,2,0,0,0,1,0,0,24,707
Alex Iafallo,LAK,2450000,L,L,26,6,11,17,0,0,0.65,3,12,3,5,0,0,0,0,54,1194
Andrew Mangiapane,CGY,2400000,L,L,28,8,6,14,-3,12,0.5,6,10,1,3,1,1,0,1,46,1053
Anthony Beauvillier,NYI,2400000,L,L,20,2,4,6,5,6,0.3,2,5,0,1,0,0,0,2,46,991
Artturi Lehkonen,MTL,2400000,L,L,21,2,2,4,-2,2,0.19,0,2,0,0,2,2,0,0,33,787
Oskar Lindblom,PHI,2400000,L,L,22,2,5,7,-4,2,0.32,2,7,0,0,0,0,0,0,33,878
Brock McGinn,CAR,2300000,L,L,27,8,5,13,3,6,0.48,7,12,0,0,1,1,0,1,43,915
Warren Foegele,CAR,2150000,L,L,24,5,5,10,3,12,0.42,5,10,0,0,0,0,0,0,36,795
Jordan Martinook,CAR,2150000,L,L,24,1,6,7,-4,10,0.29,1,6,0,0,0,1,0,0,26,740
Jesper Bratt,NJD,2050000,L,L,19,1,9,10,0,2,0.53,1,8,0,1,0,1,0,0,44,947
Nick Ritchie,BOS,2000000,L,L,25,8,7,15,-5,19,0.6,3,6,5,9,0,0,0,1,50,945
Roope Hintz,DAL,2000000,L,L,17,7,8,15,2,2,0.88,5,7,2,8,0,0,0,0,37,1095
Blake Comeau,DAL,2000000,R,L,20,1,5,6,2,4,0.3,1,5,0,0,0,1,0,0,29,961
Matt Calvert,COL,1875000,L,L,13,0,1,1,-3,4,0.08,0,1,0,0,0,0,0,0,17,840
Erik Haula,NSH,1750000,L,L,24,3,5,8,-5,8,0.33,1,5,1,2,1,1,0,0,31,937
Anthony Duclair,FLA,1700000,L,L,20,2,10,12,9,6,0.6,2,11,0,1,0,0,0,0,53,936
Jordan Greenway,MIN,1600000,L,L,26,5,14,19,10,28,0.73,5,18,0,1,0,0,0,0,42,985
Matt Martin,NYI,1500000,L,L,29,5,4,9,4,16,0.31,5,9,0,0,0,0,0,0,44,623
Austin Watson,OTT,1500000,R,L,31,3,6,9,-7,40,0.29,3,8,0,0,0,1,0,0,36,724
Brendan Lemieux,NYR,1450000,L,L,24,1,3,4,1,46,0.17,1,4,0,0,0,0,0,0,25,643
Michael Raffl,PHI,1400000,L,L,21,3,4,7,0,12,0.33,3,7,0,0,0,0,0,2,19,790
Anders Bjork,BOS,1400000,L,L,23,1,2,3,-3,10,0.13,1,3,0,0,0,0,0,0,14,715
Lawson Crouse,ARI,1350000,L,L,25,1,2,3,-11,13,0.12,1,2,0,1,0,0,0,0,26,869
Jujhar Khaira,EDM,1300000,L,L,21,3,5,8,2,33,0.38,3,8,0,0,0,0,0,2,25,740
Pierre Engvall,TOR,1250000,L,L,21,2,4,6,-1,6,0.29,2,6,0,0,0,0,0,0,33,732
Tomas Nosek,VGK,1250000,L,L,17,2,1,3,-3,4,0.18,2,3,0,0,0,0,0,0,20,739
Nicolas Deslauriers,ANA,1000000,L,L,25,3,3,6,-5,17,0.24,3,6,0,0,0,0,0,1,30,663
Johan Larsson,ARI,1000000,L,L,26,4,1,5,-7,15,0.19,4,5,0,0,0,0,0,2,21,807
William Carrier,VGK,1000000,L,L,22,0,2,2,-4,8,0.09,0,2,0,0,0,0,0,0,20,587
Ross Johnston,NYI,1000000,L,L,6,0,0,0,-2,18,0,0,0,0,0,0,0,0,0,2,509
Adam Erne,DET,997500,L,L,21,3,4,7,-4,13,0.33,2,4,1,3,0,0,0,0,23,724
Eric Robinson,CBJ,975000,L,L,30,4,5,9,3,2,0.3,4,9,0,0,0,0,0,2,42,676
Kirill Kaprizov,MIN,925000,L,L,26,10,14,24,10,8,0.92,8,22,2,2,0,0,1,2,67,1104
Joel Farabee,PHI,925000,L,L,24,11,11,22,6,10,0.92,11,18,0,4,0,0,0,1,60,956
Brady Tkachuk,OTT,925000,L,L,31,11,10,21,-10,36,0.68,8,15,3,6,0,0,1,2,132,1109
Tim StÃ¯Â¿Â,OTT,925000,L,L,28,6,11,17,-15,10,0.61,4,11,2,6,0,0,0,0,62,945
Brandon Hagel,CHI,925000,L,L,26,2,7,9,-1,9,0.35,2,8,0,0,0,1,0,0,39,801
John Leonard,SJS,925000,L,L,20,3,4,7,-8,2,0.35,2,6,1,1,0,0,0,0,27,763
Joel Kiviranta,DAL,925000,L,L,15,3,4,7,4,6,0.47,2,6,1,1,0,0,0,0,16,750
Jimmy Vesey,TOR,900000,L,L,30,5,2,7,-4,4,0.23,5,7,0,0,0,0,0,1,32,667
Austin Wagner,LAK,900000,L,L,20,3,3,6,-4,6,0.3,3,6,0,0,0,0,0,1,34,643
Mackenzie MacEachern,STL,900000,L,L,17,1,1,2,2,4,0.12,0,1,0,0,1,1,0,0,21,569
Josh Leivo,CGY,875000,R,L,22,3,2,5,-3,8,0.23,3,5,0,0,0,0,0,2,32,668
Jason Robertson,DAL,842500,L,L,19,4,9,13,1,8,0.68,4,13,0,0,0,0,0,0,31,835
Max Jones,ANA,832500,L,L,19,4,1,5,-4,13,0.26,2,2,2,3,0,0,0,0,32,826
Kieffer Bellows,NYI,832500,L,L,10,3,0,3,1,2,0.3,3,3,0,0,0,0,0,1,14,640
Nils Hoglander,VAN,825000,L,L,31,5,7,12,-4,10,0.39,4,11,1,1,0,0,0,1,68,905
Janne Kuokkanen,NJD,800000,L,L,20,5,6,11,3,10,0.55,4,9,1,2,0,0,0,0,21,779
Mikhail Maltsev,NJD,792500,L,L,13,4,0,4,3,4,0.31,4,4,0,0,0,0,0,0,23,648
Conor Sheary,WSH,735000,L,L,24,6,2,8,-1,10,0.33,6,8,0,0,0,0,0,0,27,755
Rudolfs Balcers,SJS,735000,L,L,13,2,5,7,-3,2,0.54,2,6,0,1,0,0,0,1,17,850
Kenny Agostino,TOR,725000,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248
Phillip Di Giuseppe,NYR,700000,L,L,23,1,6,7,2,2,0.3,1,7,0,0,0,0,0,0,37,686
Mason Marchment,FLA,700000,L,L,10,2,4,6,0,6,0.6,2,6,0,0,0,0,0,0,14,774
Tobias Rieder,BUF,700000,L,L,23,4,0,4,-5,0,0.17,4,4,0,0,0,0,0,0,34,740
Kyle Clifford,STL,700000,L,L,26,3,1,4,-1,19,0.15,3,4,0,0,0,0,0,0,35,547
Ryan Lomberg,FLA,700000,L,L,18,1,1,2,1,9,0.11,1,2,0,0,0,0,0,0,25,584
Michael Dal Colle,NYI,700000,L,L,16,0,2,2,1,2,0.13,0,2,0,0,0,0,0,0,5,665
Nathan Walker,STL,700000,L,L,6,1,0,1,-3,2,0.17,1,1,0,0,0,0,0,0,9,839
Marc Michaelis,VAN,700000,L,L,5,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,1,661
Mitchell Marner,TOR,15000000,R,R,30,11,28,39,15,14,1.3,11,25,0,13,0,1,0,2,82,1358
Mikko Rantanen,COL,12000000,L,R,26,13,15,28,7,6,1.08,8,18,5,10,0,0,0,3,87,1210
Mark Stone,VGK,8000000,R,R,24,9,22,31,16,15,1.29,8,25,1,6,0,0,0,5,42,1085
Patrick Kane,CHI,7000000,L,R,29,11,30,41,8,12,1.41,9,27,2,14,0,0,0,1,103,1323
Blake Wheeler,WPG,6500000,R,R,27,7,18,25,-6,22,0.93,5,14,2,11,0,0,0,1,62,1142
Jakub Voracek,PHI,6250000,L,R,22,3,15,18,-1,10,0.82,3,14,0,4,0,0,0,0,44,991
Brock Boeser,VAN,6125000,R,R,31,14,15,29,0,10,0.94,8,18,5,10,1,1,0,1,72,1148
William Nylander,TOR,6000000,R,R,30,12,12,24,9,8,0.8,9,16,3,8,0,0,1,2,75,979
Kyle Okposo,BUF,6000000,R,R,21,0,3,3,-6,0,0.14,0,3,0,0,0,0,0,0,25,769
Patrik Laine,"WPG,CBJ",5550000,R,R,21,9,6,15,-10,15,0.71,5,10,4,5,0,0,1,1,46,1088
Clayton Keller,ARI,5500000,L,R,28,8,13,21,1,12,0.75,5,15,3,6,0,0,0,2,65,1014
Vladimir Tarasenko,STL,5500000,L,R,4,1,3,4,-3,0,1,1,3,0,1,0,0,0,0,11,1148
Patric Hornqvist,FLA,5300000,R,R,27,11,11,22,1,15,0.81,5,13,6,9,0,0,0,2,91,986
Cam Atkinson,CBJ,5275000,R,R,30,11,10,21,-3,4,0.7,7,11,0,6,4,4,0,2,90,1106
Jakob Silfverberg,ANA,5250000,R,R,29,6,5,11,-13,12,0.38,4,8,1,2,1,1,0,0,60,1033
Sam Reinhart,BUF,5200000,R,R,24,11,8,19,-16,6,0.79,6,10,5,9,0,0,0,2,52,1194
Phil Kessel,ARI,5100000,R,R,28,9,9,18,-10,10,0.64,7,12,2,6,0,0,0,0,50,1005
Travis Konecny,PHI,5000000,R,R,19,7,8,15,4,10,0.79,4,9,3,6,0,0,0,1,31,959
Josh Bailey,NYI,5000000,L,R,29,3,12,15,4,2,0.52,3,9,0,6,0,0,0,1,51,1072
Mats Zuccarello,MIN,5000000,L,R,15,4,14,18,9,4,1.2,4,16,0,2,0,0,0,0,31,989
Alex Tuch,VGK,4750000,R,R,25,13,7,20,10,16,0.8,11,16,2,4,0,0,0,1,53,989
Jordan Eberle,NYI,4750000,R,R,29,9,10,19,8,8,0.66,8,16,1,3,0,0,0,1,71,1039
T.J. Oshie,WSH,4500000,R,R,26,6,12,18,-8,14,0.69,1,10,5,8,0,0,0,0,47,1100
Anthony Mantha,DET,4500000,L,R,28,8,6,14,-13,9,0.5,6,12,2,2,0,0,0,0,68,1074
Nino Niederreiter,CAR,4250000,L,R,27,12,6,18,11,17,0.67,10,15,2,3,0,0,0,4,67,930
Viktor Arvidsson,NSH,4250000,R,R,28,3,10,13,-4,8,0.46,2,11,1,2,0,0,0,0,93,1037
Kyle Palmieri,NJD,4250000,R,R,24,4,8,12,-4,16,0.5,3,7,0,4,1,1,0,1,59,1093
Tom Wilson,WSH,4100000,R,R,21,7,10,17,1,25,0.81,4,12,2,4,1,1,0,3,33,1040
David Pastrnak,BOS,4000000,R,R,18,12,10,22,9,6,1.22,8,17,4,5,0,0,0,1,74,1133
Dustin Brown,LAK,4000000,R,R,26,13,6,19,2,14,0.73,6,10,7,9,0,0,0,0,69,1050
Timo Meier,SJS,4000000,L,R,23,5,12,17,-1,10,0.74,4,9,1,8,0,0,0,0,69,954
Josh Anderson,MTL,4000000,R,R,24,10,4,14,1,23,0.58,9,12,0,1,1,1,0,3,65,902
Pavel Buchnevich,NYR,3500000,L,R,26,8,14,22,1,7,0.85,8,16,0,5,0,1,0,1,62,1132
Bryan Rust,PIT,3500000,R,R,27,9,10,19,3,4,0.7,7,14,2,5,0,0,0,1,90,1184
Reilly Smith,VGK,3500000,L,R,25,6,5,11,10,2,0.44,4,9,1,1,1,1,1,1,52,1056
Kevin Labanc,SJS,3200000,R,R,25,7,10,17,-2,14,0.68,7,15,0,2,0,0,0,1,59,986
David Backes,ANA,3000000,R,R,10,2,0,2,-3,2,0.2,2,2,0,0,0,0,0,1,24,802
Joonas Donskoi,COL,2900000,R,R,26,7,7,14,3,4,0.54,5,11,2,3,0,0,0,1,22,784
Kasperi Kapanen,PIT,2860000,R,R,24,7,11,18,12,5,0.75,6,17,1,1,0,0,1,3,41,952
Connor Brown,OTT,2800000,R,R,31,6,8,14,-9,6,0.45,6,13,0,1,0,0,0,1,59,1091
Brendan Gallagher,MTL,2750000,R,R,27,10,6,16,6,8,0.59,7,13,3,3,0,0,0,2,86,915
Oliver Bjorkstrand,CBJ,2500000,R,R,30,10,13,23,-4,23,0.77,8,20,2,3,0,0,0,0,72,1012
Cal Clutterbuck,NYI,2500000,R,R,27,3,5,8,0,2,0.3,3,8,0,0,0,0,0,1,26,791
Joel Armia,MTL,2400000,R,R,20,5,5,10,8,6,0.5,4,8,0,0,1,2,0,0,40,866
Denis Gurianov,DAL,2200000,L,R,24,5,9,14,-6,12,0.58,2,8,3,6,0,0,0,1,61,1011
Valeri Nichushkin,COL,2200000,L,R,26,5,4,9,-1,2,0.35,4,8,0,0,1,1,1,3,45,790
Richard Panik,WSH,2200000,L,R,27,2,6,8,-6,14,0.3,1,7,1,1,0,0,0,0,34,739
Alex Chiasson,EDM,2150000,R,R,22,5,4,9,-1,17,0.41,2,5,3,4,0,0,0,1,26,739
Rocco Grimaldi,NSH,2000000,R,R,20,3,1,4,-9,4,0.2,3,4,0,0,0,0,0,0,27,754
Ryan Hartman,MIN,1900000,R,R,21,3,6,9,4,10,0.43,2,7,0,0,1,2,0,0,33,782
Jake Virtanen,VAN,1700000,R,R,26,3,0,3,-2,26,0.12,2,2,1,1,0,0,0,1,38,721
Chris Wagner,BOS,1525000,R,R,23,2,1,3,-8,19,0.13,1,2,0,0,1,1,0,0,28,706
Josh Archibald,EDM,1500000,R,R,26,4,2,6,-2,27,0.23,4,6,0,0,0,0,0,0,33,787
Ryan Reaves,VGK,1375000,R,R,25,0,2,2,-5,18,0.08,0,2,0,0,0,0,0,0,15,590
Troy Terry,ANA,1350000,R,R,22,4,3,7,0,8,0.32,4,7,0,0,0,0,0,0,35,779
Garnet Hathaway,WSH,1300000,R,R,27,3,6,9,7,21,0.33,3,9,0,0,0,0,0,0,22,730
Tage Thompson,BUF,1200000,R,R,11,1,1,2,-3,2,0.18,1,2,0,0,0,0,0,0,20,783
Ilya Mikheyev,TOR,1100000,L,R,30,4,5,9,-1,4,0.3,4,9,0,0,0,0,0,2,60,870
Bobby Ryan,DET,1000000,R,R,28,6,7,13,-10,25,0.46,6,11,0,2,0,0,0,0,67,950
Jesper Fast,CAR,1000000,R,R,22,3,7,10,-4,8,0.45,2,7,1,3,0,0,0,0,16,875
Andrei Svechnikov,CAR,925000,L,R,27,8,14,22,1,24,0.81,5,12,3,10,0,0,0,0,78,1050
Filip Zadina,DET,925000,L,R,22,3,8,11,2,0,0.5,2,8,1,3,0,0,0,0,43,960
Oliver Wahlstrom,NYI,925000,R,R,22,5,5,10,5,8,0.45,4,5,1,5,0,0,0,1,44,684
Nicolas Aube-Kubel,PHI,925000,R,R,24,2,5,7,-3,21,0.29,2,7,0,0,0,0,0,0,19,709
Kaapo Kakko,NYR,925000,L,R,19,2,2,4,-2,8,0.21,2,4,0,0,0,0,0,0,38,918
Jesse Puljujarvi,EDM,900000,R,R,29,7,3,10,0,12,0.34,6,8,1,2,0,0,0,0,65,869
Christian Fischer,ARI,874125,R,R,24,0,1,1,-8,2,0.04,0,1,0,0,0,0,0,0,18,699
Kailer Yamamoto,EDM,832500,R,R,30,7,8,15,7,16,0.5,7,14,0,0,0,1,0,0,44,986
Eeli Tolvanen,NSH,832500,L,R,19,5,3,8,-6,2,0.42,1,2,4,6,0,0,0,1,30,833
Owen Tippett,FLA,832500,R,R,18,3,3,6,-4,4,0.33,2,5,1,1,0,0,0,1,26,669
Julien Gauthier,NYR,832500,R,R,19,1,4,5,-2,6,0.26,1,5,0,0,0,0,0,0,25,605
Conor Garland,ARI,800000,R,R,27,8,14,22,3,14,0.81,6,17,2,5,0,0,0,1,70,1075
Corey Perry,MTL,750000,R,R,20,5,5,10,7,16,0.5,5,7,0,3,0,0,0,1,25,745
Mathieu Olivier,NSH,730000,R,R,16,1,2,3,-2,26,0.19,0,2,1,1,0,0,0,0,13,615
Drake Batherson,OTT,700000,R,R,31,11,10,21,-11,6,0.68,8,11,3,10,0,0,0,2,69,961
Mathieu Joseph,TBL,700000,L,R,26,6,4,10,2,4,0.38,5,8,1,2,0,0,0,2,27,656
Daniel Sprong,WSH,700000,R,R,16,5,2,7,3,2,0.44,5,7,0,0,0,0,0,0,18,596
Carl Grundstrom,LAK,700000,L,R,25,3,3,6,-3,8,0.24,3,4,0,2,0,0,0,1,36,756
Nathan Bastian,NJD,700000,R,R,25,2,4,6,2,11,0.24,2,6,0,0,0,0,0,0,31,690
Alexander Volkov,TBL,700000,L,R,17,3,2,5,2,4,0.29,3,4,0,1,0,0,0,0,16,571
Brett Ritchie,CGY,700000,R,R,7,1,2,3,0,6,0.43,1,3,0,0,0,0,0,0,7,557
Keegan Kolesar,VGK,700000,R,R,21,0,3,3,-3,14,0.14,0,3,0,0,0,0,0,0,15,534
Patrick Russell,EDM,700000,R,R,7,0,2,2,1,0,0.29,0,2,0,0,0,0,0,0,10,639
Matt Luff,LAK,700000,R,R,10,1,0,1,-3,5,0.1,1,1,0,0,0,0,0,0,14,612
Kurtis Gabriel,SJS,700000,R,R,6,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,475
